,Longitude (deg),Latitude (deg),Height (m),Time Uncertainty (s),Bias (s),ObsTime,x (m),y (m),z (m)
HK,137.3136492,36.35558472,514,0.001,0.002,2022-06-14 20:00:00.100,4844450.23410819,-1748407.0715052998,3749629.8312613135
IC,-63.45305556,-89.99,-2450,0.001,0.005,2022-06-14 20:00:00.100,-14560.51968033327,613.9304655779312,-6356735.609365004
JUNO,112.51867,22.11827,-700,0.0012,-0.0003,2022-06-14 20:00:00.100,4209159.484402159,-4156017.118723297,2377550.021331725
KM3,16.1,36.26666667,-3600,0.001,-0.003,2022-06-14 20:00:00.100,-3998154.8822995853,-3233733.7680111337,3760781.197617881
SK,137.3103056,36.42572222,370,0.0009,0.002,2022-06-14 20:00:00.100,4840019.382761256,-1747119.0305531458,3755904.5388548607
SNOP,-81.2011111,46.475,-2100,0.003,0.002,2022-06-14 20:00:00.100,-2296287.3557971725,3747482.055972663,4606664.39824231
Borexino,13.516389,42.421111,-1000,0.004,0.003,2022-06-14 20:00:00.100,-3789883.152959507,-2793356.338774975,4288485.331136137
KL,137.3153,36.4225,0,0.003,0.002,2022-06-14 20:00:00.100,4840370.70156201,-1746770.0136104466,3755616.0657967418
Baksan,42.690278,43.275556,0,0.003,0.002,2022-06-14 20:00:00.100,-1919336.4005063672,-4232182.001738027,4354066.61719114
DS-20K,13.516389,42.421111,0,0.003,0.002,2022-06-14 20:00:00.100,-3789883.152959507,-2793356.338774975,4288485.331136137
DUNE,-88.257222,41.831944,0,0.003,0.002,2022-06-14 20:00:00.100,-1968576.933636856,4329187.005995501,4235892.991872739
HALO-1kT,-81.2011111,46.475,-2100,0.003,0.002,2022-06-14 20:00:00.100,-2296287.3557971725,3747482.055972663,4606664.39824231
LVD,13.516389,42.421111,0,0.003,0.002,2022-06-14 20:00:00.100,-3789883.152959507,-2793356.338774975,4288485.331136137
LZ,-88.257222,41.831944,0,0.003,0.002,2022-06-14 20:00:00.100,-1968576.933636856,4329187.005995501,4235892.991872739
MicroBooNe,-88.257222,41.831944,0,0.003,0.002,2022-06-14 20:00:00.100,-1968576.933636856,4329187.005995501,4235892.991872739
NOvA,-92.833611,48.379167,0,0.003,0.002,2022-06-14 20:00:00.100,-1439752.5941025657,3989012.668510274,4748029.390367879
PandaX-4T,101.7,28.2,-2400,0.003,0.002,2022-06-14 20:00:00.100,3193461.057085191,-4635329.615525636,2989257.6493265866
SBND,-88.257222,41.831944,0,0.003,0.002,2022-06-14 20:00:00.100,-1968576.933636856,4329187.005995501,4235892.991872739
XENONnT,13.516389,42.421111,0,0.003,0.002,2022-06-14 20:00:00.100,-3789883.152959507,-2793356.338774975,4288485.331136137
